month,place,die,hurt,car,經度,緯度
1,South,1,0,普通重型-機車,120.372052,22.541141
1,North,1,1,普通重型-機車;大型重型-機車,121.504547,24.95763
1,Central,1,1,普通重型-機車;普通重型-機車,120.695863,24.216056
1,Central,1,1,自用-小貨車;腳踏自行車-慢車,120.508579,24.140725
1,South,1,0,自用-小貨車,120.55904,23.565369
1,Central,1,0,自用-小貨車;行人-人;自用-小貨車,120.541703,23.710441
1,Central,2,2,租賃車-小客車;普通重型-機車;乘客-人;乘客-人,120.58021,24.242317
1,North,1,0,普通重型-機車;營業用-大貨車;動力機械-其他車,121.448327,24.996772
1,North,1,0,普通重型-機車,121.435911,25.156852
1,North,1,0,自用-小貨車;行人-人,121.505006,24.993558
1,South,1,0,自用-小客車,120.27207,23.206481
1,North,1,0,普通重型-機車;自用-小客車,121.223038,24.853138
1,North,1,0,自用-小客車;行人-人,121.615942,25.04445
1,North,1,0,普通重型-機車;自用-小貨車,121.23937,24.900388
1,Central,1,0,自用-小貨車;普通重型-機車;自用-小貨車,120.612124,24.14566
1,Central,2,1,營業用-曳引車;自用-小貨車;乘客-人,120.608047,24.151047
1,North,1,0,普通重型-機車;營業用-曳引車,121.261532,24.870444
1,South,1,0,自用-小客車;行人-人,120.480737,22.684497
1,North,1,0,自用-大貨車;大型重型-機車,120.85279,24.626757
1,Central,1,2,普通重型-機車;普通重型-機車;乘客-人,120.71198,24.291861
1,North,1,1,營業用-大貨車;自用-小客車;自用-小客車;乘客-人,120.703645,24.489687
1,North,1,0,自用-小客車,121.074681,24.783651
1,South,2,0,自用-小客車;乘客-人,120.677592,22.222674
1,Central,1,1,普通重型-機車;自用-小貨車,120.707586,24.182433
1,Central,1,1,普通重型-機車;乘客-人,120.677701,24.200796
1,East,1,1,自用-小客車;乘客-人,121.41785,23.25106
1,South,1,3,自用-小客車;乘客-人;乘客-人;乘客-人,120.691822,23.831218
1,North,1,4,自用-小客車;計程車-小客車;乘客-人;乘客-人;乘客-人,121.196227,24.950325
1,South,1,0,自用-小客車;普通重型-機車;乘客-人,120.234586,23.023211
1,South,1,0,自用-小客車;腳踏自行車-慢車;乘客-人,120.161017,23.002872
1,South,1,0,普通重型-機車;自用-小客車,120.2691,22.60898
1,North,1,0,自用-小貨車;行人-人,121.509371,25.04522
1,North,1,0,普通重型-機車,120.937206,24.800548
1,South,1,0,普通重型-機車;自用-小貨車,120.295289,23.026142
1,North,1,0,自用-小貨車;行人-人,121.540362,24.964583
1,South,1,1,普通重型-機車;自用-小客車;自用-小客車;普通重型-機車,120.420023,22.588886
1,South,1,1,自用-小客車;普通重型-機車,120.297178,22.7845
1,South,1,0,普通重型-機車;自用-小貨車,120.5,22.88656
1,South,1,0,普通重型-機車;營業用-全聯結車,120.590574,22.397563
1,South,1,2,普通重型-機車;自用-小貨車;乘客-人,120.684359,23.900542
1,Central,1,0,自用-小客車;行人-人,120.6829,24.140782
1,Central,1,0,普通輕型-機車;普通重型-機車,120.352081,23.899664
1,North,1,0,普通重型-機車,120.824485,24.621105
1,South,1,0,自用-大貨車;普通重型-機車,120.229361,23.453212
1,South,1,0,自用-小貨車;普通重型-機車,120.543812,23.508812
1,Central,1,0,自用-小客車;普通重型-機車,120.698113,24.059871
1,South,1,1,自用-小客車;腳踏自行車-慢車,120.281427,22.72764
1,Central,1,0,自用-小客車;腳踏自行車-慢車,120.626786,24.019339
1,Central,1,0,營業用-半聯結車;行人-人,120.484014,23.95716
1,Central,1,5,自用-小客車;租賃車-小客車;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人,120.56537,23.829803
1,South,1,0,普通重型-機車;行人-人,120.220595,22.968235
1,Central,1,1,普通重型-機車;乘客-人,120.559021,23.850713
